# NodeNum	NormalTime	MrTime
1	624.9383575923399	313.85163071320795
2	576.5177013422978	291.1987867638687
3	701.221506586856	313.3050856783131
4	783.7771942766234	357.42828221892967
5	747.2927546079994	354.64810634478744
6	590.0734044854265	236.28325994644874
7	608.2453490925295	243.619960909167
8	667.4459983537384	261.4040685423951
9	580.5419100896983	226.21863976468848
10	540.3825258258848	240.1211513763871
