# NodeNum	StdTime	MrTime
1	4195.776253136946	312.6649044833358
2	3728.447028741064	282.1846399142929
3	4289.365753969159	304.5127491652644
4	4461.463002870832	337.82966568377657
5	3959.6512286434545	340.79497996617835
6	3939.3776571068056	231.17918691229443
7	4265.860213252038	238.0629834322964
8	3799.107425426409	252.4538891100977
9	NaN	NaN
10	4026.4131828485565	243.4898528424506
