#	NodeNum	NormalTime	MrTime	
A1	624.9383575923	313.8516307132	3548.212595672	288.1003402827
A2	576.5177013423	291.1987867639	4139.6079491281	270.3742731516
A3	701.2215065869	313.3050856783	3703.7632214209	289.5875976107
A4^-	783.7771942766	357.4282822189	0	0
A5	747.292754608	354.6481063448	3717.3755777948	349.2567338268
R1	590.0734044854	236.2832599464	4054.6262407099	205.8040004552
R2	608.2453490925	243.6199609092	4306.8098714791	220.1983863995
R3	667.4459983537	261.4040685424	3956.9938522023	239.618016459
G1	580.5419100897	226.2186397647	3494.5608903404	205.5429692383
G2	540.3825258259	240.1211513764	3562.035969251	223.8389820438
